"id","sender_id","type_name","timestamp","intent_name","action_name","data"
175,"f15644ec49654efbaa4312f2ea453be2","action",1654406955.496413,NULL,"action_session_start","{""event"": ""action"", ""timestamp"": 1654406955.496413, ""metadata"": {""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}, ""name"": ""action_session_start"", ""policy"": null, ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
176,"f15644ec49654efbaa4312f2ea453be2","session_started",1654406955.496437,NULL,NULL,"{""event"": ""session_started"", ""timestamp"": 1654406955.496437, ""metadata"": {""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}}"
177,"f15644ec49654efbaa4312f2ea453be2","action",1654406955.4964497,NULL,"action_listen","{""event"": ""action"", ""timestamp"": 1654406955.4964497, ""metadata"": {""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}, ""name"": ""action_listen"", ""policy"": null, ""confidence"": null, ""action_text"": null, ""hide_rule_turn"": false}"
178,"f15644ec49654efbaa4312f2ea453be2","user",1654406955.9231513,"greet",NULL,"{""event"": ""user"", ""timestamp"": 1654406955.9231513, ""metadata"": {""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}, ""text"": ""hi"", ""parse_data"": {""intent"": {""name"": ""greet"", ""confidence"": 0.9999991655349731}, ""entities"": [], ""text"": ""hi"", ""message_id"": ""7953bfaaa43f498f91b1c33f72b4988a"", ""metadata"": {}, ""text_tokens"": [[0, 2]], ""intent_ranking"": [{""name"": ""greet"", ""confidence"": 0.9999991655349731}, {""name"": ""bot_challenge"", ""confidence"": 3.0050364330236334e-07}, {""name"": ""support_team"", ""confidence"": 2.822103795097064e-07}, {""name"": ""supply_contact_info"", ""confidence"": 7.298422843859953e-08}, {""name"": ""apply"", ""confidence"": 7.232116416844292e-08}, {""name"": ""goodbye"", ""confidence"": 5.2890207768996333e-08}], ""response_selector"": {""all_retrieval_intents"": [], ""default"": {""response"": {""responses"": null, ""confidence"": 0.0, ""intent_response_key"": null, ""utter_action"": ""utter_None""}, ""ranking"": []}}}, ""input_channel"": ""cmdline"", ""message_id"": ""7953bfaaa43f498f91b1c33f72b4988a""}"
179,"f15644ec49654efbaa4312f2ea453be2","user_featurization",1654406956.3612804,NULL,NULL,"{""event"": ""user_featurization"", ""timestamp"": 1654406956.3612804, ""metadata"": {""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}, ""use_text_for_featurization"": false}"
180,"f15644ec49654efbaa4312f2ea453be2","action",1654406956.361295,NULL,"utter_greet","{""event"": ""action"", ""timestamp"": 1654406956.361295, ""metadata"": {""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}, ""name"": ""utter_greet"", ""policy"": ""MemoizationPolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
181,"f15644ec49654efbaa4312f2ea453be2","bot",1654406956.361329,NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1654406956.361329, ""metadata"": {""utter_action"": ""utter_greet"", ""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}, ""text"": ""Hello"", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
182,"f15644ec49654efbaa4312f2ea453be2","action",1654406956.3669984,NULL,"utter_ask_contact_info","{""event"": ""action"", ""timestamp"": 1654406956.3669984, ""metadata"": {""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}, ""name"": ""utter_ask_contact_info"", ""policy"": ""MemoizationPolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
183,"f15644ec49654efbaa4312f2ea453be2","bot",1654406956.3670237,NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1654406956.3670237, ""metadata"": {""utter_action"": ""utter_ask_contact_info"", ""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}, ""text"": ""May i know your name and email"", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
184,"f15644ec49654efbaa4312f2ea453be2","action",1654406956.3716397,NULL,"action_listen","{""event"": ""action"", ""timestamp"": 1654406956.3716397, ""metadata"": {""model_id"": ""83b2411e893d47c3b3fe19c29463816d""}, ""name"": ""action_listen"", ""policy"": ""MemoizationPolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
